"RegionID","StuctureID","Acronym"
1,935,"ACAd1"
1,211,"ACAd2/3"
1,1015,"ACAd5"
1,919,"ACAd6a"
1,927,"ACAd6b"
2,588,"ACAv1"
2,296,"ACAv2/3"
2,772,"ACAv5"
2,810,"ACAv6a"
2,819,"ACAv6b"
3,996,"AId1"
3,328,"AId2/3"
3,1101,"AId5"
3,783,"AId6a"
3,831,"AId6b"
4,704,"AIv1"
4,694,"AIv2/3"
4,800,"AIv5"
4,675,"AIv6a"
4,699,"AIv6b"
5,68,"FRP1"
5,667,"FRP2/3"
5,526157192,"FRP5"
5,526157196,"FRP6a"
5,526322264,"FRP6b"
6,707,"ILA1"
6,747,"ILA2"
6,556,"ILA2/3"
6,827,"ILA5"
6,1054,"ILA6a"
6,1081,"ILA6b"
7,171,"PL1"
7,195,"PL2"
7,304,"PL2/3"
7,363,"PL5"
7,84,"PL6a"
7,132,"PL6b"
8,656,"MOs1"
8,962,"MOs2/3"
8,767,"MOs5"
8,1021,"MOs6a"
8,1085,"MOs6b"
9,448,"ORBl1"
9,412,"ORBl2/3"
9,630,"ORBl5"
9,440,"ORBl6a"
9,488,"ORBl6b"
10,484,"ORBm1"
10,524,"ORBm2"
10,582,"ORBm2/3"
10,620,"ORBm5"
10,910,"ORBm6a"
10,527696977,"ORBm6b"
11,969,"ORBvl1"
11,288,"ORBvl2/3"
11,1125,"ORBvl5"
11,608,"ORBvl6a"
11,680,"ORBvl6b"
12,320,"MOp1"
12,943,"MOp2/3"
12,648,"MOp5"
12,844,"MOp6a"
12,882,"MOp6b"
13,120,"AIp1"
13,163,"AIp2/3"
13,344,"AIp5"
13,314,"AIp6a"
13,355,"AIp6b"
14,527,"AUDd1"
14,600,"AUDd2/3"
14,678,"AUDd4"
14,252,"AUDd5"
14,156,"AUDd6a"
14,243,"AUDd6b"
14,480149230,"VISlla"
15,735,"AUDp1"
15,251,"AUDp2/3"
15,816,"AUDp4"
15,847,"AUDp5"
15,954,"AUDp6a"
15,1005,"AUDp6b"
16,696,"AUDpo1"
16,643,"AUDpo2/3"
16,759,"AUDpo4"
16,791,"AUDpo5"
16,249,"AUDpo6a"
16,456,"AUDpo6b"
17,959,"AUDv1"
17,755,"AUDv2/3"
17,990,"AUDv4"
17,1023,"AUDv5"
17,520,"AUDv6a"
17,598,"AUDv6b"
18,36,"GU1"
18,180,"GU2/3"
18,148,"GU4"
18,187,"GU5"
18,638,"GU6a"
18,662,"GU6b"
19,540,"PERI1"
19,888,"PERI2/3"
19,692,"PERI5"
19,335,"PERI6a"
19,368,"PERI6b"
20,836,"ECT1"
20,427,"ECT2/3"
20,988,"ECT5"
20,977,"ECT6a"
20,1045,"ECT6b"
21,671,"RSPagl1"
21,965,"RSPagl2/3"
21,774,"RSPagl5"
21,906,"RSPagl6a"
21,279,"RSPagl6b"
21,480149258,"VISmma"
21,480149286,"VISmmp"
21,480149314,"VISm"
22,442,"RSPd1"
22,434,"RSPd2/3"
22,545,"RSPd4"
22,610,"RSPd5"
22,274,"RSPd6a"
22,330,"RSPd6b"
23,542,"RSPv1"
23,606,"RSPv2"
23,430,"RSPv2/3"
23,687,"RSPv5"
23,590,"RSPv6a"
23,622,"RSPv6b"
24,981,"SSp-bfd1"
24,201,"SSp-bfd2/3"
24,1047,"SSp-bfd4"
24,1070,"SSp-bfd5"
24,1038,"SSp-bfd6a"
24,1062,"SSp-bfd6b"
24,480149202,"VISrll"
25,1030,"SSp-ll1"
25,113,"SSp-ll2/3"
25,1094,"SSp-ll4"
25,1128,"SSp-ll5"
25,478,"SSp-ll6a"
25,510,"SSp-ll6b"
26,878,"SSp-m1"
26,657,"SSp-m2/3"
26,950,"SSp-m4"
26,974,"SSp-m5"
26,1102,"SSp-m6a"
26,2,"SSp-m6b"
27,558,"SSp-n1"
27,838,"SSp-n2/3"
27,654,"SSp-n4"
27,702,"SSp-n5"
27,889,"SSp-n6a"
27,929,"SSp-n6b"
28,1006,"SSp-tr1"
28,670,"SSp-tr2/3"
28,1086,"SSp-tr4"
28,1111,"SSp-tr5"
28,9,"SSp-tr6a"
28,461,"SSp-tr6b"
29,450,"SSp-ul1"
29,854,"SSp-ul2/3"
29,577,"SSp-ul4"
29,625,"SSp-ul5"
29,945,"SSp-ul6a"
29,1026,"SSp-ul6b"
30,182305693,"SSp-un1"
30,182305697,"SSp-un2/3"
30,182305701,"SSp-un4"
30,182305705,"SSp-un5"
30,182305709,"SSp-un6a"
30,182305713,"SSp-un6b"
31,873,"SSs1"
31,806,"SSs2/3"
31,1035,"SSs4"
31,1090,"SSs5"
31,862,"SSs6a"
31,893,"SSs6b"
32,97,"TEa1"
32,1127,"TEa2/3"
32,234,"TEa4"
32,289,"TEa5"
32,729,"TEa6a"
32,786,"TEa6b"
33,312782550,"VISa1"
33,312782554,"VISa2/3"
33,312782558,"VISa4"
33,312782562,"VISa5"
33,312782566,"VISa6a"
33,312782570,"VISa6b"
34,1074,"VISal1"
34,905,"VISal2/3"
34,1114,"VISal4"
34,233,"VISal5"
34,601,"VISal6a"
34,649,"VISal6b"
35,281,"VISam1"
35,1066,"VISam2/3"
35,401,"VISam4"
35,433,"VISam5"
35,1046,"VISam6a"
35,441,"VISam6b"
36,897,"VISC1"
36,1106,"VISC2/3"
36,1010,"VISC4"
36,1058,"VISC5"
36,857,"VISC6a"
36,849,"VISC6b"
37,421,"VISl1"
37,973,"VISl2/3"
37,573,"VISl4"
37,613,"VISl5"
37,74,"VISl6a"
37,121,"VISl6b"
38,312782578,"VISli1"
38,312782582,"VISli2/3"
38,312782586,"VISli4"
38,312782590,"VISli5"
38,312782594,"VISli6a"
38,312782598,"VISli6b"
39,593,"VISp1"
39,821,"VISp2/3"
39,721,"VISp4"
39,778,"VISp5"
39,33,"VISp6a"
39,305,"VISp6b"
40,750,"VISpl1"
40,269,"VISpl2/3"
40,869,"VISpl4"
40,902,"VISpl5"
40,377,"VISpl6a"
40,393,"VISpl6b"
41,805,"VISpm1"
41,41,"VISpm2/3"
41,501,"VISpm4"
41,565,"VISpm5"
41,257,"VISpm6a"
41,469,"VISpm6b"
42,312782632,"VISpor1"
42,312782636,"VISpor2/3"
42,312782640,"VISpor4"
42,312782644,"VISpor5"
42,312782648,"VISpor6a"
42,312782652,"VISpor6b"
43,312782604,"VISrl1"
43,312782608,"VISrl2/3"
43,312782612,"VISrl4"
43,312782616,"VISrl5"
43,312782620,"VISrl6a"
43,312782624,"VISrl6b"
