"","subdomain-1","subdomain-2","subdomain-3","subdomain-4","subdomain-5","subdomain-6","subdomain-7","subdomain-8","subdomain-9","subdomain-10","subdomain-11","subdomain-12","subdomain-13","subdomain-14"
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17099_014.swc",513.548133685412,10303.7805267244,389.321336946077,8519.52893104885,4246.22780037393,551.881063379647,950.828924761634,1202.34535083444,7895.7927989252,249.65240170205,1697.19184394073,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17099_030.swc",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_001.swc",132.895061107974,939.098142492889,1364.0094569199,940.206603100839,997.854239146408,4.61656441398133,1689.07459034097,0,0,790.391817118732,2517.77184228117,1709.24410467173,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_004.swc",237.047106701721,31.5355033442635,0,460.772886742252,129.77791444417,61.3733524222691,0,0,1610.58778997108,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_014.swc",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_018.swc",1505.08276060012,2521.22803486472,1091.4259117029,18827.8994977336,455.80295445677,0,0,0,1358.51929532421,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_025.swc",23401.8728801168,21167.7038825152,15498.3511883106,19343.0554811843,0,268.141275870716,541.86609981279,454.615260747338,5853.93701323677,0,5032.00042043699,1387.92425277966,174.860784282488,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_039.swc",118.888364654252,2927.69522936813,0,480.879292843307,4876.5627263103,4426.05775569857,66.2946753448586,28.5874768104208,8280.66590006724,0,0,0,1934.94926968089,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_043.swc",80.2622353826729,0,0,0,229.95463137736,978.686182529305,0,344.492411816013,1420.61877888395,0,0,0,174.362607157472,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_061.swc",0,0,0,0,0,0,0,2253.8372386031,1817.68566826953,0,0,0,1657.26913199889,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_067.swc",372.239076148349,7397.82310555411,906.781860367385,2435.28241220283,1646.04568897986,139.119143211761,1029.12001835475,0,413.847661516756,0,0,0,0,0
