"","Hemisphere","ProjectID","AxonType","SWCPath"
"1","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17099_014.swc"
"2","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17099_030.swc"
"3","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_001.swc"
"4","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_004.swc"
"5","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_014.swc"
"6","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_018.swc"
"7","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_025.swc"
"8","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_039.swc"
"9","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_043.swc"
"10","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_061.swc"
"11","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_067.swc"
"12","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_070.swc"
"13","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_073.swc"
"14","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_075.swc"
"15","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_082.swc"
"16","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_084.swc"
"17","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_090.swc"
"18","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_109.swc"
"19","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_115.swc"
"20","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_120.swc"
"21","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_123.swc"
"22","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_130.swc"
